id,type,area,lat,lon
MCFLND_7_ND001,GEN,CA,33.014957999988646,-113.35968461417411
MCFLND_7_ND002,GEN,CA,33.014957999988646,-113.35979138582589
MCFRLND_6_N001,LOAD,CA,35.688444,-119.276835
MCG HILL_GNODE 1,GEN,NV,39.59133199998546,-116.91276585079208
MCG HILL_GNODE 3,GEN,NV,39.59133199998546,-116.91288214920792
MCGIN_SR_LNODELD2,LOAD,SRP,33.354817233638286,-111.59769545820757
MCGIN_SR_LNODELD3,LOAD,SRP,33.35490195839084,-111.59773053454623
MCGIN_SR_LNODELD4,LOAD,SRP,33.35499147210398,-111.5977246710162
MCGIN_SR_LNODELD5,LOAD,SRP,33.3550734729113,-111.5976812971976
MCGIN_SR_LNODELD6,LOAD,SRP,33.35513870755678,-111.59760767996914
MCGIN_SR_LNODELD7,LOAD,SRP,33.35518114937532,-111.5975131432881
MCGL_LNODEWR1,LOAD,PGE,45.51919371882738,-122.42318
MCGL_LNODEWR2,LOAD,PGE,45.51911314056713,-122.42311360386027
MCGL_LNODEWR3,LOAD,PGE,45.51911314056713,-122.42324639613973
MCGPKGEN_7_B1,GEN,CA,34.205556,-119.246944
MCHENRY_6_SOLARGNODE,GEN,BANC,37.736285251,-120.994637149
MCHLWAY_LNODE-1,LOAD,NV,36.185088719946734,-115.215609
