PNODE_ID,AS_ID_1,AS_ID_2,AS_ID_extra_count,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Derived_Zone
PGF1_2_PDRP103-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP103,,24M3_DB127,2024-03-20T00:00:00,3161,NP15
PGF1_2_PDRP104-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP104,,24M3_DB127,2024-03-20T00:00:00,3162,NP15
PGF1_2_PDRP105-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP105,,24M3_DB127,2024-03-20T00:00:00,3163,NP15
PGF1_2_PDRP106-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP106,,24M3_DB127,2024-03-20T00:00:00,3164,NP15
PGF1_2_PDRP107-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP107,,24M3_DB127,2024-03-20T00:00:00,3165,NP15
PGF1_2_PDRP108-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP108,,24M3_DB127,2024-03-20T00:00:00,3166,NP15
PGF1_2_PDRP109-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP109,,24M3_DB127,2024-03-20T00:00:00,3167,NP15
PGF1_2_PDRP11-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP11,,24M3_DB127,2024-03-20T00:00:00,3168,NP15
PGF1_2_PDRP110-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP110,,24M3_DB127,2024-03-20T00:00:00,3169,NP15
PGF1_2_PDRP111-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP111,,24M3_DB127,2024-03-20T00:00:00,3170,NP15
PGF1_2_PDRP116-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP116,,24M3_DB127,2024-03-20T00:00:00,3171,NP15
PGF1_2_PDRP16-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP16,,24M3_DB127,2024-03-20T00:00:00,3172,NP15
PGF1_2_PDRP17-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP17,,24M3_DB127,2024-03-20T00:00:00,3173,NP15
PGF1_2_PDRP18-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP18,,24M3_DB127,2024-03-20T00:00:00,3174,NP15
PGF1_2_PDRP19-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP19,,24M3_DB127,2024-03-20T00:00:00,3175,NP15
PGF1_2_PDRP20-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP20,,24M3_DB127,2024-03-20T00:00:00,3176,NP15
PGF1_2_PDRP21-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP21,,24M3_DB127,2024-03-20T00:00:00,3177,NP15
PGF1_2_PDRP24-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP24,,24M3_DB127,2024-03-20T00:00:00,3178,NP15
PGF1_2_PDRP25-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP25,,24M3_DB127,2024-03-20T00:00:00,3179,NP15
PGF1_2_PDRP26-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP26,,24M3_DB127,2024-03-20T00:00:00,3180,NP15
PGF1_2_PDRP27-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP27,,24M3_DB127,2024-03-20T00:00:00,3181,NP15
PGF1_2_PDRP28-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP28,,24M3_DB127,2024-03-20T00:00:00,3182,NP15
PGF1_2_PDRP29-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP29,,24M3_DB127,2024-03-20T00:00:00,3183,NP15
PGF1_2_PDRP30-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP30,,24M3_DB127,2024-03-20T00:00:00,3184,NP15
PGF1_2_PDRP36-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP36,,24M3_DB127,2024-03-20T00:00:00,3185,NP15
PGF1_2_PDRP37-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP37,,24M3_DB127,2024-03-20T00:00:00,3186,NP15
PGF1_2_PDRP38-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP38,,24M3_DB127,2024-03-20T00:00:00,3187,NP15
PGF1_2_PDRP39-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP39,,24M3_DB127,2024-03-20T00:00:00,3188,NP15
PGF1_2_PDRP40-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP40,,24M3_DB127,2024-03-20T00:00:00,3189,NP15
PGF1_2_PDRP41-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP41,,24M3_DB127,2024-03-20T00:00:00,3190,NP15
PGF1_2_PDRP42-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP42,,24M3_DB127,2024-03-20T00:00:00,3191,NP15
PGF1_2_PDRP43-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP43,,24M3_DB127,2024-03-20T00:00:00,3192,NP15
PGF1_2_PDRP44-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP44,,24M3_DB127,2024-03-20T00:00:00,3193,NP15
PGF1_2_PDRP45-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP45,,24M3_DB127,2024-03-20T00:00:00,3194,NP15
PGF1_2_PDRP46-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP46,,24M3_DB127,2024-03-20T00:00:00,3195,NP15
PGF1_2_PDRP47-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP47,,24M3_DB127,2024-03-20T00:00:00,3196,NP15
PGF1_2_PDRP48-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP48,,24M3_DB127,2024-03-20T00:00:00,3197,NP15
PGF1_2_PDRP49-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP49,,24M3_DB127,2024-03-20T00:00:00,3198,NP15
PGF1_2_PDRP50-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP50,,24M3_DB127,2024-03-20T00:00:00,3199,NP15
PGF1_2_PDRP51-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP51,,24M3_DB127,2024-03-20T00:00:00,3200,NP15
PGF1_2_PDRP52-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP52,,24M3_DB127,2024-03-20T00:00:00,3201,NP15
PGF1_2_PDRP53-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP53,,24M3_DB127,2024-03-20T00:00:00,3202,NP15
PGF1_2_PDRP54-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP54,,24M3_DB127,2024-03-20T00:00:00,3203,NP15
PGF1_2_PDRP55-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP55,,24M3_DB127,2024-03-20T00:00:00,3204,NP15
PGF1_2_PDRP56-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP56,,24M3_DB127,2024-03-20T00:00:00,3205,NP15
PGF1_2_PDRP57-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP57,,24M3_DB127,2024-03-20T00:00:00,3206,NP15
PGF1_2_PDRP58-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP58,,24M3_DB127,2024-03-20T00:00:00,3207,NP15
PGF1_2_PDRP59-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP59,,24M3_DB127,2024-03-20T00:00:00,3208,NP15
