X,Y,OBJECTID,Substation_ID,Substation_Name,Alias,Status,Owner,Map_Owner,Map_Part,Engineering_ID,kV_12_TO_32,kV_33_TO_92,kV_110_TO_161,kV_220_To_287,kV_345_To_500,kV_500_DC,Highest_kV,Postal_City,County,Zip_Code,State,Comments
-121.671173813358,40.8879267264859,"1672",SS1979,Burney, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Burney,Shasta,"96013",CA, 
-122.3341875489,40.6521925551668,"1673",SS1980,Cascade, ,Operational,PG&E,PG&E,U, ,,YES,YES,,,,110kV to 161kV,Redding,Shasta,"96003",CA, 
-122.264211398797,40.3978748598821,"1674",SS1982,Cottonwood, ,Operational,PG&E,PG&E,U,CW,,YES,YES,YES,,,220kV to 287kV,Cottonwood,Shasta,"96022",CA, 
-122.239791227162,40.555347653801,"1675",SS1985,Deschutes, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Palo Cedro,Shasta,"96073",CA, 
-122.641124334514,40.68689430093,"1676",SS1986,French Gulch, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,French Gulch,Shasta,"96033",CA, 
-122.378760913094,40.513322208946,"1677",SS1987,Girvan, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Redding,Shasta,"96001",CA, 
-122.327745172847,40.4617876592722,"1678",SS1988,Jessup, ,Operational,PG&E,PG&E,U, ,,YES,YES,,,,110kV to 161kV,Anderson,Shasta,"96007",CA, 
-121.408247465117,41.0512337179352,"1679",SS1989,Mc Arthur, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Fall River Mills,Shasta,"96028",CA, 
-122.322046672317,40.6190404134195,"1680",SS1991,Oregon Trail, ,Operational,PG&E,PG&E,U, ,,YES,YES,,,,110kV to 161kV,Redding,Shasta,"96003",CA, 
-122.267909438531,40.4343627365551,"1681",SS1992,Panorama, ,Operational,PG&E,PG&E,U, ,,,YES,,,,110kV to 161kV,Anderson,Shasta,"96007",CA, 
-121.544373288559,40.9290008485051,"1682",SS1993,Rising River, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Fall River Mills,Shasta,"96028",CA, 
-121.935802266699,40.8074737435857,"1683",SS1994,Round Mt., ,Operational,PG&E,PG&E,U,RDM,,YES,,YES,YES,,345kV to 500kV,Montgomery Creek,Shasta,"96065",CA, 
-122.349761597454,40.6777583155405,"1684",SS1995,Stillwater, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Shasta Lake,Shasta,"96019",CA, 
-121.915804559969,40.6290286475297,"1685",SS1996,Whitmore, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Whitmore,Shasta,"96096",CA, 
-122.319626435329,41.1461058108114,"1686",SS1997,Castella, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Lakehead,Shasta,"96051",CA, 
-122.28593006065,41.1848390884229,"1687",SS1998,Crag View, ,Operational,PCORP,PCORP,U, ,,YES,YES,,,,110kV to 161kV,Dunsmuir,Shasta,"96025",CA, 
-122.430994323346,40.9401278235586,"1688",SS1999,Dog Creek, ,Operational,PCORP,PCORP,U, ,,YES,YES,,,,110kV to 161kV,Lakehead,Shasta,"96051",CA,Not too sure on location
-122.290721562744,41.1782327949793,"1689",SS2000,Nutglade, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Dunsmuir,Shasta,"96025",CA, 
-122.381842957732,41.0539456236649,"1690",SS2001,Shotgun Creek, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Lakehead,Shasta,"96051",CA, 
-122.456366479669,40.9771499803684,"1691",SS2002,Slate Creek, ,Operational,Other,Other,U, ,,YES,,,,,33kV to 92kV,Lakehead,Shasta,"96051",CA,Under the  i-5 bridge
-120.008666887458,39.5212258324763,"1692",SS2004,California,CAL SUB,Operational,Other,Other,U, ,,,YES,,,,110kV to 161kV,Sierraville,Sierra,"96126",CA, 
-120.381127151302,39.5935039908029,"1693",SS2005,Sierraville, ,Operational,Other,Other,U, ,,YES,,,,,33kV to 92kV,Sierraville,Sierra,"96126",CA, 
-120.242971897614,39.6680612981806,"1694",SS2006,Loyalton, ,Operational,Other,Other,U, ,,YES,,,,,33kV to 92kV,Loyalton,Sierra,"96118",CA, 
-120.217904884577,39.6461323510337,"1695",SS2007,Sierra Brooks, ,Operational,Other,Other,U, ,,YES,,,,,33kV to 92kV,Loyalton,Sierra,"96118",CA, 
-120.104689095527,39.4703926626241,"1696",SS2008,Stampede Dam, ,Operational,Other,Other,U, ,,YES,,,,,33kV to 92kV,Tahoe National Forest,Sierra,"00033",CA, 
-120.844787757169,39.4654763514746,"1697",SS2009,Alleghany, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Alleghany,Sierra,"95910",CA, 
-120.996085544848,39.4381009154195,"1698",SS2010,Pike City, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,North San Juan,Sierra,"95960",CA, 
-122.383207695553,41.4320516701149,"1699",SS2011,International Paper, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Weed,Siskiyou,"96094",CA, 
-122.32837541246,41.280397446471,"1700",SS2012,Lake Siskiyou, ,Operational,Other,Other,U, ,,YES,,,,,33kV to 92kV,Mount Shasta,Siskiyou,"96067",CA, 
-122.464108771524,41.8675099500496,"1701",SS2013,Ager, ,Operational,PCORP,PCORP,U, ,,YES,YES,,,,110kV to 161kV,Hornbrook,Siskiyou,"96044",CA, 
-122.399292588624,41.6167567757284,"1702",SS2014,Big Springs, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Montague,Siskiyou,"96064",CA, 
-121.913562474409,41.9668359092439,"1703",SS2015,Dorris, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Dorris,Siskiyou,"96023",CA, 
-122.850136508229,41.6054142284069,"1704",SS2016,Fort Jones, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Fort Jones,Siskiyou,"96032",CA, 
-122.648990907749,41.7112985200557,"1705",SS2017,Greenhorn, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Yreka,Siskiyou,"96097",CA, 
-123.071208103701,41.780210985566,"1706",SS2018,Hamburg, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Somes Bar,Siskiyou,"95568",CA, 
-123.372537061233,41.8035365827167,"1707",SS2019,Happy Camp, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Happy Camp,Siskiyou,"96039",CA, 
-122.360157437348,41.7116199214739,"1708",SS2020,Hart, ,Operational,PCORP,PCORP,U, ,,YES,YES,,,,110kV to 161kV,Montague,Siskiyou,"96064",CA, 
-122.539948652167,41.8979854959484,"1709",SS2021,Hornbrook, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Hornbrook,Siskiyou,"96044",CA, 
-122.369646149116,41.7017358826036,"1710",SS2023,Little Shasta, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Montague,Siskiyou,"96064",CA, 
-122.004723586639,41.8317713459949,"1711",SS2025,Macdoel, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Dorris,Siskiyou,"96023",CA, 
-122.125983383717,41.2663234658987,"1712",SS2026,Mccloud, ,Operational,PCORP,PCORP,U, ,,YES,,,,,33kV to 92kV,Mccloud,Siskiyou,"96057",CA, 
