Resource ID,Local Area,Matched Zone,Generator Name,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Dispatchable,Path Designation,Deliverability Status,Deliverability MW,Internal Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBWD_6_QF,CAISO System,SP15,Wind Resource II,1.68,4.05,4.53,7.3,8.23,7.5,7.47,6.9,4.24,2.27,1.32,1.29,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCOGN_2_UNITS,LA Basin,SP15,WATSON COGENERATION,305,305,305,305,305,305,305,305,305,305,305,305,Y,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARLNTN_2_AR1SR1,CAISO System,SP15,Arlington,0.1,0.1,0.1,0.48,3.22,42.52,67.29,20.3,38.96,0.18,0.1,0.1,N,South,FC,,"Group name: ARLINGTON_1196_2 - Max to grid 269 MW. Co-located with SUNCAT_2_A2ABT2, SUNCAT_2_A2BSR2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARLNTN_2_ASUSR1,CAISO System,SP15,Arlington Solar Unit 1,0.06,0.06,0.06,0.37,2.49,32.97,52.18,15.74,30.2,0.14,0.06,0.06,N,South,PD,59.19%,"Group name: ARLINGTON_1196_1 - Max to grid 131 MW. Co-located with SUNCAT_2_A1BBT1, SUNCAT_2_A1ABT1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARVINN_6_ORION1,CAISO System,ZP26,Orion 1 Solar,0.1,0.1,0.1,0.16,0.63,4.6,7.19,2.41,4.81,0.1,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARVINN_6_ORION2,CAISO System,ZP26,Orion 2 Solar,0.1,0.1,0.1,0.11,0.56,4.54,5.84,2.14,3.8,0.1,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTORA_2_SOLAR1,CAISO System,SP15,Astoria 1,0.1,0.1,0.1,0.48,3.22,42.52,67.29,20.3,38.96,0.18,0.1,0.1,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTORA_2_SOLAR2,CAISO System,SP15,Astoria 2,0.1,0.1,0.1,0.36,2.41,31.89,50.47,15.22,29.22,0.13,0.1,0.1,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHOS_5_AP1X2,CAISO System,SP15,Athos Power Plant,0.1,0.1,0.1,1.19,8.04,106.31,168.24,50.74,97.39,0.44,0.1,0.1,N,South,FC,,Max at POI 450 MWs - including new Athos Power Plant BESS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHOS_5_AP2X2,CAISO System,SP15,Athos Power Plant 2,0.1,0.1,0.1,0.95,6.43,85.05,134.59,40.59,77.91,0.35,0.1,0.1,N,South,FC,,Max at POI 450 MWs - including new Athos Power Plant BESS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATWEL2_1_SOLAR1,CAISO System,ZP26,Atwell West,0.1,0.1,0.1,0.27,1.41,11.34,14.59,5.34,9.5,0.1,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATWELL_1_SOLAR,CAISO System,ZP26,Atwell Island PV Solar Generating Faci.,0.1,0.1,0.1,0.27,1.05,7.66,11.98,4.02,8.01,0.13,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVENAL_6_AVPARK,Fresno,ZP26,Avenal Park Solar Project,0.1,0.1,0.1,0.1,0.31,2.3,3.59,1.21,2.4,0.1,0.1,0.1,N,North,ID,100%,PGEWD0029 - 18DGD Waiting for Reconductor Los Banos-Padre Flat-Panoche 230 kV and possibly other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
